id,barId,date,paid,rev,id,taxId,name,address,city,state,zip,countyId,lat,lng
8016,609,"2014-06-00 00:00:00",5576.14,83225.97014925373,609,MB189719,"GOODE COMPANY TEXAS SEAFOOD   ","2621 WESTPARK DR              ","HOUSTON             ",TX,77098,101,29.728296,-95.420229
8091,614,"2014-06-00 00:00:00",1450.08,21642.985074626864,614,MB190271,"OLIVE GARDEN OF TEXAS INC #104","10830 NORTHWEST FWY           ","HOUSTON             ",TX,77092,101,29.8162691,-95.4639984
8106,615,"2014-06-00 00:00:00",10588.34,158034.92537313432,615,MB190273,"RICHMOND ARMS                 ","5920 RICHMOND AVE             ","HOUSTON             ",TX,77057,101,29.7318417,-95.4832741
8121,616,"2014-06-00 00:00:00",1956.33,29198.955223880595,616,MB190362,"NUMBERS                       ","300 WESTHEIMER RD             ","HOUSTON             ",TX,77006,101,29.7447461,-95.3849427
8341,632,"2014-06-00 00:00:00",1809.8,27011.94029850746,632,MB193220,"FAJITA FLATS                  ","2929 FONDREN RD               ","HOUSTON             ",TX,77063,101,29.7340613,-95.5202083
8388,635,"2014-06-00 00:00:00",2089.06,31179.999999999996,635,MB193660,"DUKE'S TAVERN                 ","1010 S MASON RD STE C         ","HOUSTON             ",TX,77450,101,29.7667272,-95.7522655
8491,643,"2014-06-00 00:00:00",535.12,7986.865671641791,643,MB194723,"TEQUILA PATIO                 ","23237 ALDINE WESTFIELD RD     ","HOUSTON             ",TX,77373,101,30.0502559,-95.3884416
8596,651,"2014-06-00 00:00:00",418.28,6242.985074626865,651,MB196017,"THE ORIGINAL EL GALLO MEX REST","12527 JONES RD                ","HOUSTON             ",TX,77070,101,29.9556352,-95.5850333
8686,657,"2014-06-00 00:00:00",8681.32,129571.94029850746,657,MB196771,"HOUSTON'S RESTAURANT          ","5888 WESTHEIMER RD            ","HOUSTON             ",TX,77057,101,29.7386099,-95.4840136
8716,659,"2014-06-00 00:00:00",515.02,7686.86567164179,659,MB196869,"MENCIUS GOURMET HUNAN RESTAURA","1379 KINGWOOD DR              ","HOUSTON             ",TX,77339,101,30.0495921,-95.2342423
8746,661,"2014-06-00 00:00:00",2968.36,44303.880597014926,661,MB197143,"MONTROSE MINING CO            ","805 PACIFIC ST                ","HOUSTON             ",TX,77006,101,29.746518,-95.3903464
8777,663,"2014-06-00 00:00:00",654.45,9767.910447761195,663,MB197282,"THE ORIGINAL EL GALLO MEX REST","2116 GESSNER DR               ","HOUSTON             ",TX,77080,101,29.8119536,-95.5448027
8822,666,"2014-06-00 00:00:00",1990.16,29703.880597014926,666,MB197440,"THE OLIVE GARDEN #74          ","1010 OLD SPANISH TRL          ","HOUSTON             ",TX,77054,101,29.6916472,-95.4149651
8837,667,"2014-06-00 00:00:00",416.07,6209.999999999999,667,MB197467,"CAFE CHINO                    ","3285 SOUTHWEST FWY            ","HOUSTON             ",TX,77027,101,29.7292489,-95.4313345
8897,671,"2014-06-00 00:00:00",3826.3,57108.9552238806,671,MB198066,"LIZZARD'S PUB                 ","2715 SACKETT ST               ","HOUSTON             ",TX,77098,101,29.7410321,-95.4225253
8941,674,"2014-06-00 00:00:00",10174.88,151863.8805970149,674,MB198461,"HOUSTON'S RESTAURANT          ","4848 KIRBY DR                 ","HOUSTON             ",TX,77098,101,29.7289319,-95.419048
8956,675,"2014-06-00 00:00:00",4601.09,68672.98507462686,675,MB198523,"PREGO                         ","2520 AMHERST ST               ","HOUSTON             ",TX,77005,101,29.7158751,-95.4169439
9017,681,"2014-06-00 00:00:00",87.9,1311.9402985074628,681,MB198727,"CABANA BEVERAGES, INC.        ","8930 W SAM HOUSTON PKWY N     ","HOUSTON             ",TX,77040,101,29.9018298,-95.5498509
9107,687,"2014-06-00 00:00:00",11364.13,169613.8805970149,687,MB199517,"JR'S BAR & GRILL / HOUSTON    ","804-8 PACIFIC ST              ","HOUSTON             ",TX,77006,101,29.746934,-95.38996
9122,688,"2014-06-00 00:00:00",1764.44,26334.925373134327,688,MB199564,"LA BARE                       ","6234 RICHMOND AVE STE 200     ","HOUSTON             ",TX,77057,101,29.732392,-95.492817
9247,697,"2014-06-00 00:00:00",272.48,4066.865671641791,697,MB200507,"CABANA BEVERAGES, INC.        ","8905 RICHMOND AVE             ","HOUSTON             ",TX,77063,101,29.7286889,-95.5210752
9262,698,"2014-06-00 00:00:00",253.66,3785.970149253731,698,MB200509,"TACO CABANA BEVERAGES INC     ","3905 KIRBY DR                 ","HOUSTON             ",TX,77098,101,29.7318385,-95.4182577
9310,702,"2014-06-00 00:00:00",377.88,5640,702,MB200870,"CABANA BEVERAGES, INC.        ","11079 WESTHEIMER RD           ","HOUSTON             ",TX,77042,101,29.7362558,-95.5700446
9355,705,"2014-06-00 00:00:00",4022.14,60031.940298507456,705,MB201322,"MAMACITAS MEXICAN RESTAURANT &","19831 NORTHWEST FWY           ","HOUSTON             ",TX,77065,101,29.914606,-95.61705
9432,711,"2014-06-00 00:00:00",10985.65,163964.92537313432,711,MB202066,"CARRABBA'S RESTAURANT         ","1399 S VOSS                   ","HOUSTON             ",TX,77057,101,29.7538351,-95.5005311
